id,sscode,office_type,name,address1,address2,address3,city,state,zipcode,tel_public,tel_admin,fax,notes
408,456,FO,SOUTH BEND IN,Social Security Administration,602 SOUTH MICHIGAN ST,Ground floor,SOUTH BEND,IN,46601,(877) 274-5415,,,
409,457,FO,EVANSVILLE IN,Social Security Administration,,2300 N GREEN RIVER RD,EVANSVILLE,IN,47715,(877) 768-5679,,,
410,458,FO,TERRE HAUTE IN,Social Security Administration,,222 CHERRY ST,TERRE HAUTE,IN,47807,(866) 635-0282,,,
411,459,FO,FORT WAYNE IN,Social Security Administration,,2122 LINCOLNWAY CT,FORT WAYNE,IN,46819,(877) 223-6061,,,
412,460,FO,RICHMOND IN,Social Security Administration,,500 NORTH A STREET,RICHMOND,IN,47374,(800) 772-1213,,,
413,461,FO,LAFAYETTE IN,Social Security Administration,,10 S. 2ND ST,LAFAYETTE,IN,47901,(888) 884-0522,,,
414,462,FO,KOKOMO IN,Social Security Administration,,353 W. ALTO RD,KOKOMO,IN,46902,(866) 365-3036,,,
415,463,FO,MUNCIE IN,Social Security Administration,,600 NORTH WALNUT ST,MUNCIE,IN,47305,(866) 964-7586,,,
416,464,FO,GARY IN,Social Security Administration,,808 SOUTH LAKE STREET,GARY,IN,46403,(866) 593-2911,,,
417,465,FO,NEW ALBANY IN,Social Security Administration,,3700 BLACKISTON BLVD,NEW ALBANY,IN,47150,(800) 772-1213,,,
418,466,FO,BLOOMINGTON IN,Social Security Administration,,515 W PATTERSON DRIVE,BLOOMINGTON,IN,47403,(877) 819-2594,,,
419,467,FO,ELKHART IN,Social Security Administration,,231 WATERFALL DRIVE,ELKHART,IN,46516,(866) 426-0532,,,
420,468,FO,ANDERSON IN,Social Security Administration,,117 S SCATTERFIELD RD,ANDERSON,IN,46012,(866) 875-0394,,,
421,469,FO,HAMMOND IN,Social Security Administration,,418 E DOUGLAS STREET,HAMMOND,IN,46320,(877) 512-3859,,,
422,470,FO,MICHIGAN CITY IN,Social Security Administration,,636 PINE STREET,MICHIGAN CITY,IN,46360,(866) 248-2393,,,
423,471,FO,MARION IN,Social Security Administration,,844 N MILLER AVENUE,MARION,IN,46952,(888) 397-9795,,,
424,472,FO,VINCENNES IN,Social Security Administration,,606 VETERANS DR,VINCENNES,IN,47591,(888) 456-9531,,,
425,473,FO,COLUMBUS IN,Social Security Administration,,2535 ARNOLD STREET,COLUMBUS,IN,47203,(800) 772-1213,,,
426,474,FO,MADISON IN,Social Security Administration,,150 DEMAREE DRIVE,MADISON,IN,47250,(877) 692-3144,,,
427,475,FO,VALPARAISO IN,Social Security Administration,,3810 CALUMET AVE,VALPARAISO,IN,46383,(888) 472-6120,,,
428,476,FO,ONTARIO CA,Social Security Administration,,1100 E HOLT BLVD,ONTARIO,CA,91761,(800) 772-1213,,,
429,478,FO,PORTAGE WI,Social Security Administration,SUITE 100,2875 VILLAGE RD,PORTAGE,WI,53901,(888) 875-1681,,,
430,480,FO,SONORA CA,Social Security Administration,,745 MORNING STAR DRIVE,SONORA,CA,95370,(888) 397-4125,,,
431,481,FO,ALBEMARLE NC,Social Security Administration,BROOKWOOD EXECUTIVE PK,202 CHARTER ST,ALBEMARLE,NC,28001,(866) 319-8268,,,
432,482,FO,FRANKLIN NC,Social Security Administration,,2123 LAKESIDE DR,FRANKLIN,NC,28734,(866) 562-0738,,,
433,483,FO,HENDERSONVILLE NC,Social Security Administration,,205 S GROVE STREET,HENDERSONVILLE,NC,28792,(866) 964-5053,,,
434,484,FO,SMITHFIELD NC,Social Security Administration,,633 VENTURE DR,SMITHFIELD,NC,27577,(888) 527-9331,,,
435,485,FO,CHICAGO LOOP IL,Social Security Administration,,605 W Washington Blvd,Chicago,IL,60661,(800) 772-1213,,,
436,486,FO,EAST ST LOUIS IL,Social Security Administration,ROOM 104 FEDERAL BLDG,650 MISSOURI AVE,EAST ST LOUIS,IL,62201,(877) 700-4849,,,
437,487,FO,PEORIA IL,Social Security Administration,,815 W PIONEER PARKWAY,PEORIA,IL,61615,(877) 319-6039,,,
438,488,FO,SPRINGFIELD IL,Social Security Administration,,3112 CONSTITUTION DR,SPRINGFIELD,IL,62704,(877) 279-9504,,,
439,489,FO,ROCK ISLAND IL,Social Security Administration,,2350 4TH AVE,ROCK ISLAND,IL,61201,(866) 414-9166,,,
440,490,FO,QUINCY IL,Social Security Administration,,2401 LIND STREET,QUINCY,IL,62301,(888) 279-5999,,,
441,491,FO,WAUKEGAN IL,Social Security Administration,,1930 N  LEWIS AVE,WAUKEGAN,IL,60087,(800) 772-1213,,,
442,492,FO,MT VERNON IL,Social Security Administration,FEDERAL BUILDING,105 S 6TH STREET,MOUNT VERNON,IL,62864,(866) 931-2549,,,
443,493,FO,DANVILLE IL,Social Security Administration,,400 N. VERMILION ST.,DANVILLE,IL,61832,(866) 331-5394,,,
444,494,FO,JOLIET IL,Social Security Administration,,552 HOUBOLT RD,JOLIET,IL,60431,(866) 783-7302,,,
445,495,FO,HARRISBURG IL,Social Security Administration,,18 VETERANS DRIVE,HARRISBURG,IL,62946,(866) 366-3980,,,
446,496,FO,ROCKFORD IL,Social Security Administration,,502 E JEFFERSON ST,ROCKFORD,IL,61107,(877) 628-6570,,,
447,497,FO,CHICAGO-EAST IL,Social Security Administration,,6338 S Cottage Grove,Chicago,IL,60637,(800) 772-1213,,,
448,498,FO,CHICAGO-WEST IL,Social Security Administration,,5130 WEST NORTH AVENUE,CHICAGO,IL,60639,(800) 772-1213,,,
449,499,FO,CHICAGO NORTH IL,Social Security Administration,,2127 W LAWRENCE AVE,CHICAGO,IL,60625,(800) 772-1213,,,
450,500,FO,CHICAGO SOUTH,Social Security Administration,,8658 S SACRAMENTO AVE,CHICAGO,IL,60652,(800) 772-1213,,,
451,501,FO,CHAMPAIGN IL,Social Security Administration,,101 S COUNTRY FAIR DR,CHAMPAIGN,IL,61821,(877) 819-2593,,,
452,502,FO,NORTH RIVERSIDE IL,Social Security Administration,ROOM 600,7222 W CERMAK RD,NORTH RIVERSIDE,IL,60546,(800) 772-1213,,,
453,503,FO,HILLSIDE IL,Social Security Administration,,230 NORTH MANNHEIM RD,HILLSIDE,IL,60162,(800) 772-1213,,,
454,504,FO,EVANSTON IL,Social Security Administration,,2116 GREEN BAY RD,EVANSTON,IL,60201,(800) 772-1213,,,
455,505,FO,GALESBURG IL,Social Security Administration,,2060 WINDISH DRIVE,GALESBURG,IL,61401,(877) 405-7659,,,
456,506,FO,DECATUR IL,Social Security Administration,,606 W PERSHING RD,DECATUR,IL,62526,(888) 619-4773,,,
457,507,FO,BLOOMINGTON IL,Social Security Administration,,207 N WILLIAMSBURG DR,BLOOMINGTON,IL,61704,(877) 405-4640,,,
458,508,FO,AURORA IL,Social Security Administration,,1325 N. LAKE STREET,AURORA,IL,60506,(877) 274-5412,,,
459,509,FO,CHICAGO HEIGHTS IL,Social Security Administration,,104 S HALSTED STREET,CHICAGO HEIGHTS,IL,60411,(800) 772-1213,,,
460,510,FO,CHICAGO-NR NW IL,Social Security Administration,,3260 W FULLERTON AVE,CHICAGO,IL,60647,(800) 772-1213,,,
461,512,FO,ALTON IL,Social Security Administration,ROOM 103 FEDERAL BLDG,501 BELLE ST,ALTON,IL,62002,(855) 285-6006,,,
462,513,FO,CHICAGO-NW IL,Social Security Administration,SUITE 600,4849 N MILWAUKEE AVE,CHICAGO,IL,60630,(800) 772-1213,,,
463,514,FO,CHICAGO-SE IL,Social Security Administration,,9715 S COTTAGE GROVE,CHICAGO,IL,60628,(800) 772-1213,,,
464,515,FO,ELGIN IL,Social Security Administration,,790 FLETCHER DR,ELGIN,IL,60123,(877) 405-0435,,,
465,516,FO,KANKAKEE IL,Social Security Administration,,630 E. OAK ST.,KANKAKEE,IL,60901,(855) 807-8801,,,
466,517,FO,CARBONDALE IL,Social Security Administration,RM 104,250 W CHERRY ST,CARBONDALE,IL,62901,(877) 714-0377,,,
467,518,FO,STERLING IL,Social Security Administration,SUITE C,3512 E LINCOLNWAY,STERLING,IL,61081,(866) 789-1093,,,
468,519,FO,PERU IL,Social Security Administration,,915 WENZEL RD,PERU,IL,61354,(855) 245-0640,,,
469,520,FO,FREEPORT IL,Social Security Administration,,4 E LINDEN ST,FREEPORT,IL,61032,(855) 628-1591,,,
470,521,FO,EFFINGHAM IL,Social Security Administration,SUITE 2,1207 NETWORK CENTRE DR,EFFINGHAM,IL,62401,(855) 213-5288,,,
471,522,FO,BLOOMINGDALE IL,Social Security Administration,,230 WEST LAKE STREET,BLOOMINGDALE,IL,60108,(800) 772-1213,,,
472,523,FO,MANTECA CA,Social Security Administration,,510 COMMERCE CT,MANTECA,CA,95336,(866) 320-2587,,,
473,527,FO,CAMP SPRINGS MD,Social Security Administration,,6110 ALLENTOWN ROAD,SUITLAND,MD,20746,(800) 772-1213,,,
474,528,FO,AGUADILLA PR,Social Security Administration,ROAD 107 K 2.9 CENTRAL,BORINQUEN TOWN PLAZA,AGUADILLA,PR,00603,(800) 772-1213,,,
475,529,FO,FREDERICK MD,Social Security Administration,SUITE N,5340 SPECTRUM DRIVE,FREDERICK,MD,21703,(866) 331-7089,,,
476,530,FO,CHARLOTTE HALL MD,Social Security Administration,,30071 BUSINESS CTR DR,CHARLOTTE HALL,MD,20622,(800) 772-1213,,,
477,531,FO,ANACOSTIA DC,Social Security Administration,SUITE 130,2041 MLK JR AVE SE,WASHINGTON,DC,20020,(800) 772-1213,,,
478,532,FO,MOUNT PROSPECT IL,Social Security Administration,,705 NORTH WHEELING RD,MOUNT PROSPECT,IL,60056,(800) 772-1213,,,
479,535,FO,MILW NORTH WI,Social Security Administration,,6300 W FOND DU LAC AVE,MILWAUKEE,WI,53218,(800) 772-1213,,,
480,536,FO,MADISON WI,Social Security Administration,,6011 ODANA RD,MADISON,WI,53719,(866) 770-2262,,,
481,537,FO,GREEN BAY WI,Social Security Administration,,1561 DOUSMAN ST.,GREEN BAY,WI,54303,(888) 862-4811,,,
482,538,FO,FOND DU LAC WI,Social Security Administration,SUITE 100,180 KNIGHTS WAY,FOND DU LAC,WI,54935,(888) 717-1526,,,
483,539,FO,EAU CLAIRE WI,Social Security Administration,,4120 OAKWOOD HILLS PKY,EAU CLAIRE,WI,54701,(866) 815-2924,,,
484,540,FO,RACINE WI,Social Security Administration,,4020 DURAND AVE,RACINE,WI,53405,(866) 270-8629,,,
485,541,FO,LA CROSSE WI,Social Security Administration,STE 100,210 7TH ST S,LA CROSSE,WI,54601,(866) 770-2345,,,
486,542,FO,WAUSAU WI,Social Security Administration,,352 GRAND AVE,WAUSAU,WI,54403,(855) 269-9186,,,
487,543,FO,SHEBOYGAN WI,Social Security Administration,,1137 N 26th St,Sheboygan,WI,53081,(877) 635-3549,,,
488,544,FO,SUPERIOR WI,Social Security Administration,,4221 TOWER AVE,SUPERIOR,WI,54880,(877) 628-6578,,,
489,545,FO,OSHKOSH WI,Social Security Administration,,400 CITY CENTER STE B,OSHKOSH,WI,54901,(877) 445-0834,,,
490,546,FO,JANESVILLE WI,Social Security Administration,,222 N ACADEMY ST,JANESVILLE,WI,53548,(877) 850-7826,,,
491,547,FO,KENOSHA WI,Social Security Administration,,5624 6TH AVE,KENOSHA,WI,53140,(866) 334-4997,,,
492,548,FO,MILW DT WI,Social Security Administration,SUITE 260,310 W WISCONSIN AVE,MILWAUKEE,WI,53203,(800) 772-1213,,,
493,549,FO,APPLETON WI,Social Security Administration,,607 W NORTHLAND AVE,APPLETON,WI,54911,(877) 694-5495,,,
494,550,FO,WAUKESHA WI,Social Security Administration,FIRST FLOOR,707 N GRAND AVENUE,WAUKESHA,WI,53186,(800) 772-1213,,,
495,551,FO,WISCONSIN RAPIDS,Social Security Administration,,2213 8TH ST SOUTH,WISCONSIN RAPIDS,WI,54494,(855) 686-1465,,,
496,552,FO,LANCASTER WI,Social Security Administration,,175 W ALONA LN,LANCASTER,WI,53813,(877) 405-7841,,,
497,553,FO,MARINETTE WI,Social Security Administration,,2023 LAKE PARK DR,MARINETTE,WI,54143,(888) 329-5722,,,
498,554,FO,MANITOWOC WI,Social Security Administration,,1603 Mirro Dr,MANITOWOC,WI,54220,(877) 409-8430,,,
499,556,FO,MEMPHIS SOUTH TN,Social Security Administration,,3461 SOUTH THIRD ST,MEMPHIS,TN,38109,(855) 782-9155,,,
500,558,FO,GALLATIN TN,Social Security Administration,,637 COMMONS DRIVE,GALLATIN,TN,37066,(866) 964-7392,,,
501,560,FO,WEST PLAINS MO,Social Security Administration,,1612 IMPERIAL DRIVE,WEST PLAINS,MO,65775,(866) 614-2741,,,
502,561,FO,GILROY CA,Social Security Administration,,1059 FIRST STREET,GILROY,CA,95020,(877) 452-4198,,,
503,562,FO,NORWALK CA,Social Security Administration,SUITE 170,12440 E IMPERIAL HWY,NORWALK,CA,90650,(800) 772-1213,,,
504,563,FO,BKRSFLD EAST HILLS CA,Social Security Administration,,2575 HALEY STREET,BAKERSFIELD,CA,93305,(866) 366-9558,,,
505,565,FO,NASHVILLE  TN,Social Security Administration,,120 ATHENS WAY,NASHVILLE,TN,37228,(877) 808-5461,,,
506,566,FO,MEMPHIS TN,Social Security Administration,,1330 MONROE AVENUE,MEMPHIS,TN,38104,(866) 336-2212,,,
507,567,FO,KNOXVILLE TN,Social Security Administration,,8530 KINGSTON PIKE,KNOXVILLE,TN,37919,(866) 331-9091,,,
508,568,FO,CHATTANOOGA TN,Social Security Administration,SUITE 140,1290 PREMIER DR,CHATTANOOGA,TN,37421,(866) 964-0029,,,
509,569,FO,COLUMBIA TN,Social Security Administration,,1885 SHADY BROOK ST,COLUMBIA,TN,38401,(877) 876-3174,,,
510,570,FO,DYERSBURG TN,Social Security Administration,,1070 VENDALL RD,DYERSBURG,TN,38024,(877) 480-5002,,,
511,571,FO,JACKSON TN,Social Security Administration,,415 CHEYENNE DR,JACKSON,TN,38305,(888) 383-1593,,,
512,572,FO,JOHNSON CITY TN,Social Security Administration,SUITE 203,818 SUNSET DRIVE,JOHNSON CITY,TN,37604,(866) 964-5059,,,
513,573,FO,COOKEVILLE TN,Social Security Administration,,1145 PERIMETER PARK DR,COOKEVILLE,TN,38501,(888) 717-1528,,,
514,574,FO,CLARKSVILLE TN,Social Security Administration,,119 CENTER POINTE DR,CLARKSVILLE,TN,37040,(877) 531-4695,,,
515,575,FO,GREENEVILLE TN,Social Security Administration,,1618 OLD TUSCULUM ROAD,GREENEVILLE,TN,37745,(877) 405-0416,,,
516,576,FO,MORRISTOWN TN,Social Security Administration,,3112 MILLERS POINT DR,MORRISTOWN,TN,37813,(866) 875-6156,,,
517,577,FO,TULLAHOMA TN,Social Security Administration,,717 KINGS LANE,TULLAHOMA,TN,37388,(866) 635-0647,,,
518,578,FO,MURFREESBORO TN,Social Security Administration,,2836 SAINT PATRICK CT,MURFREESBORO,TN,37128,(866) 593-3112,,,
519,579,FO,KINGSPORT TN,Social Security Administration,,2401 SOUTH WILCOX DR,KINGSPORT,TN,37660,(888) 487-0161,,,
520,580,FO,JACKSBORO TN,Social Security Administration,,140 SHARP PERKINS RD,JACKSBORO,TN,37757,(866) 964-7324,,,
521,581,FO,CLEVELAND TN,Social Security Administration,,529 INMAN ST W,CLEVELAND,TN,37311,(855) 207-4867,,,
522,582,FO,PARIS TN,Social Security Administration,,186 COMMERCE ST,PARIS,TN,38242,(866) 698-2507,,,
523,583,FO,COLUMBIA SC,Social Security Administration,11FL STHURMOND FED BLD,1835 ASSEMBLY ST,COLUMBIA,SC,29201,(866) 964-7594,,,
524,584,FO,SPARTANBURG SC,Social Security Administration,STE 300,145 N CHURCH ST,SPARTANBURG,SC,29306,(866) 701-6620,,,
525,585,FO,CHARLESTON SC,Social Security Administration,,1463 TOBIAS GADSON BLV,CHARLESTON,SC,29407,(866) 495-0111,,,
526,586,FO,GREENVILLE SC,Social Security Administration,,319 PELHAM RD,GREENVILLE,SC,29615,(877) 274-5423,,,
527,587,FO,FLORENCE SC,Social Security Administration,,181 DOZIER BLVD,FLORENCE,SC,29501,(888) 385-1173,,,
528,588,FO,ROCK HILL SC,Social Security Administration,,499 LAKESHORE PKWY,ROCK HILL,SC,29730,(877) 626-9589,,,
529,589,FO,GREENWOOD SC,Social Security Administration,STE C,115 ENTERPRISE COURT,GREENWOOD,SC,29649,(866) 739-4803,,,
530,590,FO,ANDERSON SC,Social Security Administration,,4 CIVIC CTR BLVD EXT,ANDERSON,SC,29625,(877) 505-4549,,,
531,591,FO,BENNETTSVILLE SC,Social Security Administration,,1028 CHERAW ST,BENNETTSVILLE,SC,29512,(888) 810-7617,,,
532,592,FO,CONWAY SC,Social Security Administration,Suite 301,611 BURROUGHS AND CHAPIN BLVD,MYRTLE BEACH,SC,29577,(888) 577-6601,,,
533,593,FO,GEORGETOWN SC,Social Security Administration,,413 KING ST,GEORGETOWN,SC,29440,(866) 593-1584,,,
534,594,FO,ORANGEBURG SC,Social Security Administration,,1379 SIMS ST,ORANGEBURG,SC,29115,(866) 716-8602,,,
535,595,FO,SUMTER SC,Social Security Administration,,240 BULTMAN DR,SUMTER,SC,29150,(877) 445-0840,,,
536,596,FO,AIKEN SC,Social Security Administration,,151 CORPORATE PKWY,AIKEN,SC,29803,(866) 275-8271,,,
537,597,FO,BEAUFORT SC,Social Security Administration,,646 ROBERT SMALLS PKWY,BEAUFORT,SC,29906,(866) 254-3316,,,
538,599,FO,ANSONIA CT,Social Security Administration,,475 MAIN STREET,ANSONIA,CT,06401,(866) 331-7096,,,
539,600,FO,ATLANTA-D/T GA,Social Security Administration,SUITE 2860 FLR 28,401 W PEACHTREE ST NW,ATLANTA,GA,30308,(800) 772-1213,,,
540,601,FO,SAVANNAH GA,Social Security Administration,,430 MALL BLVD,SAVANNAH,GA,31406,(866) 366-4923,,,
541,602,FO,ALBANY GA,Social Security Administration,,1522 W 3RD AVE,ALBANY,GA,31707,(877) 319-0733,,,
542,603,FO,MACON GA,Social Security Administration,,3530 RIVERSIDE DRIVE,MACON,GA,31210,(888) 759-3917,,,
543,604,FO,ATHENS GA,Social Security Administration,,1650 PRINCE AVENUE,ATHENS,GA,30606,(866) 964-3294,,,
544,605,FO,COLUMBUS GA,Social Security Administration,,7263 NORTH LAKE DR,COLUMBUS,GA,31909,(877) 784-3688,,,
545,606,FO,AUGUSTA GA,Social Security Administration,,115 Robert C Daniel JR,AUGUSTA,GA,30909,(877) 616-2523,,,
546,607,FO,WAYCROSS GA,Social Security Administration,,303 ISABELLA ST,WAYCROSS,GA,31501,(877) 405-3578,,,
547,608,FO,LAGRANGE GA,Social Security Administration,SUITE A,1300 LAFAYETTE PKWY,LAGRANGE,GA,30241,(866) 836-6744,,,
548,609,FO,ROME GA,Social Security Administration,,480 RIVERSIDE PKWY NE,ROME,GA,30161,(866) 964-1006,,,
549,610,FO,MILLEDGEVILLE GA,Social Security Administration,,109 CYPRESS CORNERS,MILLEDGEVILLE,GA,31061,(866) 348-5817,,,
550,611,FO,THOMASVILLE GA,Social Security Administration,,1916 SMITH AVENUE,THOMASVILLE,GA,31792,(888) 491-1886,,,
551,612,FO,GAINESVILLE GA,Social Security Administration,SUITE 210,2565 THOMPSON BRDG RD,GAINESVILLE,GA,30501,(866) 331-2309,,,
552,613,FO,VALDOSTA GA,Social Security Administration,,3149 PERIMETER PARK LN,VALDOSTA,GA,31602,(866) 829-2617,,,
553,614,FO,BRUNSWICK GA,Social Security Administration,,134 JUNIPER CT,BRUNSWICK,GA,31520,(866) 964-6563,,,
554,615,FO,DUBLIN GA,Social Security Administration,,919 HILLCREST PKWY,DUBLIN,GA,31021,(888) 655-6438,,,
555,616,FO,GRIFFIN GA,Social Security Administration,,1548 FLYNT ST,GRIFFIN,GA,30223,(866) 964-1005,,,
556,617,FO,SOUTHLAKE GA,Social Security Administration,,6670 MERCHANTS WAY,MORROW,GA,30260,(800) 772-1213,,,
557,618,FO,DALTON GA,Social Security Administration,,301 POINT NORTH PL,DALTON,GA,30720,(866) 593-5681,,,
558,619,FO,MARIETTA GA,Social Security Administration,,1415 FRANKLIN GATEWAY,MARIETTA,GA,30067,(800) 772-1213,,,
559,620,FO,GWINNETT GA,Social Security Administration,,4365 SHACKLEFORD RD,NORCROSS,GA,30093,(800) 772-1213,,,
560,621,FO,DECATUR GA,Social Security Administration,,3554 COVINGTON HWY,DECATUR,GA,30032,(800) 772-1213,,,
561,622,FO,BIRMINGHAM DT AL,Social Security Administration,District Office-1st Fl,1200 Rev Abraham Woods,BIRMINGHAM,AL,35285,(800) 772-1213,,,
562,623,FO,MONTGOMERY AL,Social Security Administration,SUITE 100,4344 CARMICHAEL RD,MONTGOMERY,AL,36106,(866) 593-0914,,,
563,624,FO,MOBILE AL,Social Security Administration,SUITE 100,550 GOVERNMENT ST,MOBILE,AL,36602,(866) 593-1922,,,
564,625,FO,DECATUR AL,Social Security Administration,,717 MCGLATHERY LN SE,DECATUR,AL,35601,(888) 289-9185,,,
565,626,FO,GADSDEN AL,Social Security Administration,,204 ENTERPRISE DRIVE,GADSDEN,AL,35904,(877) 316-4418,,,
566,627,FO,ANNISTON AL,Social Security Administration,,801 QUINTARD AVENUE,ANNISTON,AL,36201,(877) 701-2139,,,
567,628,FO,DOTHAN AL,Social Security Administration,,1778 WHATLEY DRIVE,DOTHAN,AL,36303,(877) 452-4192,,,
568,629,FO,TUSCALOOSA AL,Social Security Administration,STE 1200,2005 UNIVERSITY BLVD,TUSCALOOSA,AL,35401,(877) 480-4988,,,
569,630,FO,SELMA AL,Social Security Administration,,120 EXECUTIVE PARK LN,SELMA,AL,36701,(877) 628-6541,,,
570,631,FO,FLORENCE AL,Social Security Administration,,203 SOUTH WALNUT ST,FLORENCE,AL,35630,(855) 884-3407,,,
571,632,FO,HUNTSVILLE AL,Social Security Administration,,"4970 RESEARCH DRIVE,NW",HUNTSVILLE,AL,35805,(866) 593-0665,,,
572,633,FO,OPELIKA AL,Social Security Administration,,1800 CORPORATE DR,OPELIKA,AL,36801,(877) 512-3857,,,
573,634,FO,ANDALUSIA AL,Social Security Administration,,24467 ALABAMA HWY 55,ANDALUSIA,AL,36420,(877) 405-7657,,,
574,635,FO,TALLADEGA AL,Social Security Administration,,736 NORTH STREET EAST,TALLADEGA,AL,35160,(877) 619-2854,,,
575,636,FO,BESSEMER AL,Social Security Administration,,5475 ACADEMY WAY,BESSEMER,AL,35022,(800) 772-1213,,,
576,640,FO,VICKSBURG MS,Social Security Administration,SUITE 132,4155 CLAY STREET,VICKSBURG,MS,39183,(866) 964-0996,,,
577,641,FO,JACKSON MS FO,Social Security Administration,STE 225 MCCOY FED BLDG,100 W CAPITOL STREET,JACKSON,MS,39269,(866) 331-8135,,,
578,642,FO,HATTIESBURG MS,Social Security Administration,1911 BROADWAY DRIVE,,HATTIESBURG,MS,39402,(866) 331-2186,,,
579,643,FO,MERIDIAN MS,Social Security Administration,,4717 26TH AVENUE,MERIDIAN,MS,39305,(866) 403-8014,,,
580,644,FO,COLUMBUS MS,Social Security Administration,,3577 BLUECUTT RD,COLUMBUS,MS,39705,(877) 626-9914,,,
581,645,FO,GREENWOOD MS,Social Security Administration,,604 YALOBUSHA STREET,GREENWOOD,MS,38930,(866) 331-2209,,,
582,646,FO,GULFPORT MS,Social Security Administration,,9394 THREE RIVERS ROAD,GULFPORT,MS,39503,(877) 897-0609,,,
583,647,FO,GREENVILLE MS,Social Security Administration,ROOM 201,305 MAIN STREET,GREENVILLE,MS,38701,(866) 602-8776,,,
584,648,FO,TUPELO MS,Social Security Administration,,199 SADDLE CREEK DRIVE,TUPELO,MS,38801,(866) 504-4267,,,
585,649,FO,CLARKSDALE MS,Social Security Administration,ROOM 226,236 SHARKEY AVE,CLARKSDALE,MS,38614,(866) 931-7670,,,
586,650,FO,MCCOMB MS,Social Security Administration,,116 BUSINESS CENTER DR,MCCOMB,MS,39648,(866) 253-5609,,,
587,651,FO,NATCHEZ MS,Social Security Administration,GROUND FLOOR,110 LOWER WOODVILLE RD,NATCHEZ,MS,39120,(877) 405-4565,,,
588,652,FO,LAUREL MS,Social Security Administration,,3210 HWY 15 N,LAUREL,MS,39440,(866) 964-4927,,,
589,653,FO,MOSS POINT MS,Social Security Administration,,6000 HWY 63,MOSS POINT,MS,39563,(866) 253-5675,,,
590,655,FO,JACKSONVILLE SOUTH FL,Social Security Administration,SUITE 1,7185 BONNEVAL ROAD,JACKSONVILLE,FL,32256,(877) 409-8424,,,
591,656,FO,TAMPA FL,Social Security Administration,,3415 E FRONTAGE ROAD,TAMPA,FL,33607,(800) 772-1213,,,
592,657,FO,ORLANDO FL,Social Security Administration,SUITE 101,5520 GATLIN AVE,ORLANDO,FL,32812,(866) 964-6146,,,
593,658,FO,LAKELAND FL,Social Security Administration,,550 COMMERCE DR,LAKELAND,FL,33813,(800) 772-1213,,,
594,659,FO,TALLAHASSEE FL,Social Security Administration,STE B-12,2002 OLD ST AUGUSTINE,TALLAHASSEE,FL,32301,(866) 248-2088,,,
595,660,FO,PENSACOLA FL,Social Security Administration,,411 W GARDEN STREET,PENSACOLA,FL,32502,(877) 505-4550,,,
596,661,FO,WEST PALM BEACH FL,Social Security Administration,SUITE 2,801 CLEMATIS STREET,WEST PALM BEACH,FL,33401,(800) 772-1213,,,
597,662,FO,ST PETERSBURG FL,Social Security Administration,,30 DR MLK ST S,ST PETERSBURG,FL,33701,(800) 772-1213,,,
598,663,FO,GAINESVILLE FL,Social Security Administration,,4562 NW 13 STREET,GAINESVILLE,FL,32609,(877) 219-8323,,,
599,664,FO,PORT ORANGE FL,Social Security Administration,,4990 S Clyde Morris BL,PORT ORANGE,FL,32127,(866) 210-8089,,,
600,665,FO,FT LAUDERDALE EAST FL,Social Security Administration,SUITE 100,3201 W COMMERCIAL BLVD,FT LAUDERDALE,FL,33309,(800) 772-1213,,,
601,667,FO,SARASOTA FL,Social Security Administration,SUITE  301,2001 SIESTA DR,SARASOTA,FL,34239,(800) 772-1213,,,
602,668,FO,PANAMA CITY FL,Social Security Administration,,3215 HWY 77,PANAMA CITY,FL,32405,(866) 348-5833,,,
603,669,FO,MIAMI NORTH FL,Social Security Administration,,16900 NW 12 AVE,MIAMI,FL,33169,(800) 772-1213,,,
604,670,FO,FORT MYERS FL,Social Security Administration,FIRST FLOOR SUITE 101,3650 COLONIAL BLVD,FORT MYERS,FL,33966,(800) 772-1213,,,
605,671,FO,MIAMI BEACH FL,Social Security Administration,SUITE 200,1801 ALTON RD,MIAMI BEACH,FL,33139,(800) 772-1213,,,
606,673,FO,MELBOURNE FL,Social Security Administration,,1715 W NASA BLVD,MELBOURNE,FL,32901,(866) 716-7667,,,
607,674,FO,OCALA FL,Social Security Administration,,933 E SILVER SPGS BLVD,OCALA,FL,34470,(877) 626-9911,,,
608,675,FO,MINNEAPOLIS MN,Social Security Administration,SUITE 1,1811 CHICAGO AVE,MINNEAPOLIS,MN,55404,(800) 772-1213,,,
609,676,FO,DULUTH MN,Social Security Administration,STE 400/U S BANK BG,130 W SUPERIOR ST,DULUTH,MN,55802,(855) 863-3560,,,
610,677,FO,ST PAUL MN,Social Security Administration,STE N650,332 MINNESOTA ST,ST PAUL,MN,55101,(800) 772-1213,,,
611,678,FO,MANKATO MN,Social Security Administration,STE 1550 MANKATO PL,12 CIVIC CNTR PLAZA,MANKATO,MN,56001,(877) 457-1734,,,
612,679,FO,ST CLOUD MN,Social Security Administration,SUITE 100,3800 VETERANS DRIVE,SAINT CLOUD,MN,56303,(800) 772-1213,,,
613,680,FO,WINONA MN,Social Security Administration,CHOATE BLDG/STE 307,53 E THIRD ST,WINONA,MN,55987,(877) 600-2853,,,
614,681,FO,MARSHALL MN,Social Security Administration,SUITE B,507 JEWETT STREET,MARSHALL,MN,56258,(855) 210-0122,,,
